"","Pop","Sq.Ki.","Sq.Mi.","Pop.per.Sq.Ki.","Name","State"
"695","17619",1077.9,416.2,"16.3","Union County","Illinois"
"696","88257",2328.7,899.1,"37.9","Vermilion County","Illinois"
"697","13111",578.8,223.5,"22.7","Wabash County","Illinois"
"698","19181",1405.3,542.6,"13.6","Warren County","Illinois"
"699","14965",1457.3,562.7,"10.3","Washington County","Illinois"
"700","17241",1849.1,713.9,"9.3","Wayne County","Illinois"
"701","16522",1281.9,494.9,"12.9","White County","Illinois"
"702","60186",1773.7,684.8,"33.9","Whiteside County","Illinois"
"703","357313",2168.5,837.3,"164.8","Will County","Illinois"
"704","57733",1098.6,424.2,"52.6","Williamson County","Illinois"
"705","252913",1330.8,513.8,"190.0","Winnebago County","Illinois"
"706","32653",1367.6,528,"23.9","Woodford County","Illinois"
"707","5544159",92903.6,35870.1,"59.7","Indiana",NA
"708","31095",879,339.4,"35.4","Adams County","Indiana "
"709","300836",1702.4,657.3,"176.7","Allen County","Indiana "
"710","63657",1053.8,406.9,"60.4","Bartholomew County","Indiana "
"711","9441",1052.4,406.3,"9.0","Benton County","Indiana "
"712","14067",427.7,165.1,"32.9","Blackford County","Indiana "
"713","38147",1094.9,422.7,"34.8","Boone County","Indiana "
"714","14080",808.8,312.3,"17.4","Brown County","Indiana "
"715","18809",964.2,372.3,"19.5","Carroll County","Indiana "
"716","38413",1069.4,412.9,"35.9","Cass County","Indiana "
"717","87777",971.7,375.2,"90.3","Clark County","Indiana "
"718","24705",926.3,357.6,"26.7","Clay County","Indiana "
"719","30974",1049.3,405.1,"29.5","Clinton County","Indiana "
"720","9914",791.8,305.7,"12.5","Crawford County","Indiana "
